Stkcd,Year,Fn05601,Fn05602,var_5,var_6,Sum,test,Test
601022,2023.0,税收补贴,111290.0,53758692.42,0.0,53758693.0,0,1
000902,2022.0,国家化肥商业储备管理,2070000.0,63102675.15,300000.0,63102675.0,1,1
601698,2023.0,计入当期损益的政府补贴(与资产相关)其中：多波束船载卫星宽带通信运营平台项目,1147500.0,43727210.13,0.0,43727210.0,1,1
000516,2019.0,促投资、稳增长项目奖励款,123900.0,1186382.58,0.0,1186383.0,1,1
300125,2019.0,上海虹口区区招商税收返还,110000.0,3481348.9,0.0,3481349.0,1,1
605128,2023.0,计入当期损益的政府补助3,1660428.0,4694908.81,0.0,4694909.0,1,1
002653,2022.0,艾滋病和乙肝防治新物及复方制剂的创新研发补助,120505.0,44822659.73,0.0,44822660.0,1,1
300699,2021.0,政府补助其中：递延收益转入（科技发展计划项目）,350000.0,50620345.36,50405183.18,50620345.0,1,1
603823,2022.0,2019年第二批工厂物联网项目,32063.0,15501045.46,14975412.45,15501046.0,0,1
300072,2022.0,乌达区工信和科技局研究开发投入后补助资金,151000.0,4631293.31,0.0,4631294.0,0,1
300602,2015.0,合肥经开区安全生产标准化创建工作考核奖励,15000.0,4027279.36,0.0,4027279.0,1,1
600549,2021.0,其他与资产相关的政府补助,11234449.0,374054705.2,0.0,325084952.0,0,0
